id,name,price,view,city,marka,model,year,type,color,litre,weight,fuel,travel,engine,cat12,cat13
"1","Ford Transit, 2.2 L, 2012 il, 179 250 km","28 000 AZN","9556","Gəncə","Ford","Transit","2012","Yük maşını","Ağ","2.2 L","125 a.g.","Dizel","179 250 km","Mexaniki","Ön","Xeyr"
"2","Mercedes Vito, 2.2 L, 2016 il, 178 000 km","52 000 $","8597","Gəncə","Mercedes","Vito","2016","Mikroavtobus","Ağ","2.2 L","163 a.g.","Dizel","178 000 km","Mexaniki","Arxa","Xeyr"
"3","LADA (VAZ) 2111, 1.5 L, 2001 il, 333 333 km","5 900 AZN","3554","Gəncə","LADA (VAZ)","2111","2001","Universal","Boz","1.5 L","75 a.g.","Benzin","333 333 km","Mexaniki","Ön","Xeyr"
"4","Chevrolet Cruze, 1.4 L, 2015 il, 57 200 km","18 700 AZN","2003","Gəncə","Chevrolet","Cruze","2015","Sedan","Boz","1.4 L","141 a.g.","Benzin","57 200 km","Avtomat","Ön","Xeyr"
"5","Ford Transit, 2.2 L, 2012 il, 195 000 km","18 900 AZN","1528","Gəncə","Ford","Transit","2012","Furqon","Qırmızı","2.2 L","125 a.g.","Dizel","195 000 km","Mexaniki","Ön","Xeyr"
"6","Opel Astra, 1.4 L, 2009 il, 169 000 km","12 400 AZN","7528","Gəncə","Opel","Astra","2009","Hetçbek / Liftbek","Qara","1.4 L","90 a.g.","Benzin","169 000 km","Mexaniki","Ön","Xeyr"
"7","LADA (VAZ) 2107, 1.5 L, 2011 il, 93 000 km","10 700 AZN","9276","Gəncə","LADA (VAZ)","2107","2011","Sedan","Yaş Asfalt","1.5 L","65 a.g.","Benzin","93 000 km","Mexaniki","Ön","Xeyr"
"8","Mercedes C 250, 1.8 L, 2013 il, 159 000 km","25 000 AZN","3358","Gəncə","Mercedes","C 250","2013","Sedan","Ağ","1.8 L","204 a.g.","Benzin","159 000 km","Avtomat","Arxa","Xeyr"
"9","GAZ 24, 2.4 L, 1984 il, 564 564 km","1 600 AZN","523","Gəncə","GAZ","24","1984","Sedan","Qara","2.4 L","131 a.g.","Benzin","564 564 km","Mexaniki","Arxa","Xeyr"
"10","LADA (VAZ) 2115, 1.5 L, 2006 il, 111 111 km","7 200 AZN","553","Gəncə","LADA (VAZ)","2115","2006","Sedan","Qara","1.5 L","78 a.g.","Benzin","111 111 km","Mexaniki","Ön","Xeyr"
"11","Mercedes E 240, 2.4 L, 1999 il, 326 000 km","12 500 AZN","378","Gəncə","Mercedes","E 240","1999","Sedan","Yaşıl","2.4 L","170 a.g.","Benzin","326 000 km","Avtomat","Arxa","Xeyr"
"12","Mercedes E 240, 2.4 L, 1999 il, 300 000 km","12 200 AZN","1531","Gəncə","Mercedes","E 240","1999","Sedan","Yaşıl","2.4 L","170 a.g.","Benzin","300 000 km","Avtomat","Arxa","Xeyr"
"13","Mercedes S 320, 3.2 L, 1999 il, 34 584 km","11 500 AZN","160","Gəncə","Mercedes","S 320","1999","Sedan","Ağ","3.2 L","224 a.g.","Benzin","34 584 km","Avtomat","Ön","Xeyr"
"14","Mercedes C 180, 1.8 L, 1995 il, 337 000 km","7 800 AZN","211","Gəncə","Mercedes","C 180","1995","Sedan","Bej","1.8 L","122 a.g.","Benzin","337 000 km","Avtomat","Arxa","Xeyr"
